RowID,plevel,taxa_level,cols_or_rows,n,nodf,ses
0,'1','Phylum','cols',49,0.820484066,6.673574301
1,'1','Phylum','cols',49,0.827974785,6.731250867
2,'1','Phylum','cols',49,0.823723582,6.780880878
3,'1','Phylum','cols',49,0.84111985,7.302900168
4,'1','Phylum','cols',49,0.829662263,6.463926254
5,'1','Phylum','cols',49,0.83581384,7.251653428
6,'1','Phylum','cols',49,0.802586468,6.635772665
7,'1','Phylum','cols',49,0.844290446,5.648469415
8,'1','Phylum','cols',49,0.825698788,7.954454832
9,'1','Phylum','cols',49,0.846235284,6.643567721
10,'1','Phylum','cols',71,0.814030644,5.522093411
11,'1','Phylum','cols',71,0.844180959,5.921625866
12,'1','Phylum','cols',71,0.841489605,5.750807782
13,'1','Phylum','cols',71,0.812832235,5.967750337
14,'1','Phylum','cols',71,0.819089528,5.509750323
15,'1','Phylum','cols',71,0.78373831,4.987428325
16,'1','Phylum','cols',71,0.8305206,5.055667471
17,'1','Phylum','cols',71,0.845085611,6.065131967
18,'1','Phylum','cols',71,0.809744021,5.308124345
19,'1','Phylum','cols',71,0.819595432,4.857204481
20,'1','Phylum','cols',100,0.838259278,6.014995002
21,'1','Phylum','cols',100,0.83949742,6.551527018
22,'1','Phylum','cols',100,0.861245473,6.181482129
23,'1','Phylum','cols',100,0.817300927,5.566646309
24,'1','Phylum','cols',100,0.843170914,6.499260031
25,'1','Phylum','cols',100,0.821155402,5.949432233
26,'1','Phylum','cols',100,0.798279744,6.137713879
27,'1','Phylum','cols',100,0.821059492,5.29920447
28,'1','Phylum','cols',100,0.862435217,6.094870333
29,'1','Phylum','cols',100,0.809606341,6.282249522
30,'1','Phylum','cols',143,0.845826693,7.310560002
31,'1','Phylum','cols',143,0.819405103,5.312233239
32,'1','Phylum','cols',143,0.802117394,5.787128863
33,'1','Phylum','cols',143,0.853032295,6.25160586
34,'1','Phylum','cols',143,0.822457586,6.648863942
35,'1','Phylum','cols',143,0.873990081,6.732896232
36,'1','Phylum','cols',143,0.82139733,6.43167047
37,'1','Phylum','cols',143,0.848855152,6.414417684
38,'1','Phylum','cols',143,0.820997366,5.549968919
39,'1','Phylum','cols',143,0.870218033,6.96706117
40,'1','Phylum','cols',203,0.860985672,6.83691762
41,'1','Phylum','cols',203,0.819572769,6.161396538
42,'1','Phylum','cols',203,0.806885492,5.883041586
43,'1','Phylum','cols',203,0.857116114,6.752946949
44,'1','Phylum','cols',203,0.83646316,6.733669985
45,'1','Phylum','cols',203,0.872044286,7.109620774
46,'1','Phylum','cols',203,0.807095604,5.98056366
47,'1','Phylum','cols',203,0.82274732,5.901787804
48,'1','Phylum','cols',203,0.842061291,6.440263367
49,'1','Phylum','cols',203,0.856243308,5.908966203
50,'1','Phylum','cols',289,0.786366145,6.11059364
51,'1','Phylum','cols',289,0.806626871,6.10309606
52,'1','Phylum','cols',289,0.838595767,6.774391587
53,'1','Phylum','cols',289,0.815332608,5.348398744
54,'1','Phylum','cols',289,0.825393565,6.203394459
55,'1','Phylum','cols',289,0.822645299,6.327137247
56,'1','Phylum','cols',289,0.812548851,6.082458357
57,'1','Phylum','cols',289,0.845168583,6.395140189
58,'1','Phylum','cols',289,0.810015428,6.012628449
59,'1','Phylum','cols',289,0.80219851,5.716752929
60,'1','Phylum','cols',410,0.832540006,5.66386369
61,'1','Phylum','cols',410,0.815185257,5.856836891
62,'1','Phylum','cols',410,0.832743208,5.892483454
63,'1','Phylum','cols',410,0.819573311,5.689452355
64,'1','Phylum','cols',410,0.838540523,6.75087118
65,'1','Phylum','cols',410,0.850831047,6.969379628
66,'1','Phylum','cols',410,0.806192442,5.758842596
67,'1','Phylum','cols',410,0.807548984,5.798568033
68,'1','Phylum','cols',410,0.840568453,5.591565638
69,'1','Phylum','cols',410,0.864323143,6.456003938
70,'1','Phylum','cols',583,0.82025651,5.803308179
71,'1','Phylum','cols',583,0.83915664,6.320831964
72,'1','Phylum','cols',583,0.817703447,6.391534637
73,'1','Phylum','cols',583,0.827602235,6.109281332
74,'1','Phylum','cols',583,0.872345709,7.019736681
75,'1','Phylum','cols',583,0.856128366,6.809125162
76,'1','Phylum','cols',583,0.861794213,6.825097181
77,'1','Phylum','cols',583,0.848156025,6.330446258
78,'1','Phylum','cols',583,0.814977195,6.066041197
79,'1','Phylum','cols',583,0.830683909,7.116980839
80,'1','Phylum','cols',829,0.838120995,7.322294219
81,'1','Phylum','cols',829,0.811005714,6.601773581
82,'1','Phylum','cols',829,0.784659648,5.769311579
83,'1','Phylum','cols',829,0.839487249,6.28196349
84,'1','Phylum','cols',829,0.86499583,6.012879876
85,'1','Phylum','cols',829,0.822143307,5.884774264
86,'1','Phylum','cols',829,0.828180379,6.647752126
87,'1','Phylum','cols',829,0.819350478,5.849282571
88,'1','Phylum','cols',829,0.844589136,6.298243978
89,'1','Phylum','cols',829,0.843685946,6.51577102
90,'1','Phylum','cols',1177,0.816884934,5.469123401
91,'1','Phylum','cols',1177,0.787360662,5.159869894
92,'1','Phylum','cols',1177,0.83940621,6.642525404
93,'1','Phylum','cols',1177,0.859832431,6.065965312
94,'1','Phylum','cols',1177,0.816721577,6.894296603
95,'1','Phylum','cols',1177,0.848977196,6.887345478
96,'1','Phylum','cols',1177,0.828063844,5.861405823
97,'1','Phylum','cols',1177,0.833969786,6.449158738
98,'1','Phylum','cols',1177,0.823526885,6.190553849
99,'1','Phylum','cols',1177,0.803019458,6.147900878
100,'1','Class','cols',49,0.659672691,6.61944253
101,'1','Class','cols',49,0.682580826,7.100366791
102,'1','Class','cols',49,0.710684263,6.445645456
103,'1','Class','cols',49,0.698349387,7.411009872
104,'1','Class','cols',49,0.708402742,6.173526875
105,'1','Class','cols',49,0.695386489,6.25242389
106,'1','Class','cols',49,0.697879881,6.272206285
107,'1','Class','cols',49,0.682837275,6.570824572
108,'1','Class','cols',49,0.733019966,7.553248214
109,'1','Class','cols',49,0.720353201,7.561902649
110,'1','Class','cols',71,0.740357311,6.92948493
111,'1','Class','cols',71,0.692138462,6.089854015
112,'1','Class','cols',71,0.703071089,5.200745546
113,'1','Class','cols',71,0.761139503,6.213605103
114,'1','Class','cols',71,0.6835969,6.137737166
115,'1','Class','cols',71,0.715191482,4.875274986
116,'1','Class','cols',71,0.659199909,5.353527671
117,'1','Class','cols',71,0.72734688,5.394825415
118,'1','Class','cols',71,0.668693661,5.419941127
119,'1','Class','cols',71,0.649194372,5.657832126
120,'1','Class','cols',100,0.716446387,5.588755906
121,'1','Class','cols',100,0.682629247,6.075934047
122,'1','Class','cols',100,0.64593168,4.888166582
123,'1','Class','cols',100,0.669122202,4.728149661
124,'1','Class','cols',100,0.702080093,5.397872557
125,'1','Class','cols',100,0.723608785,5.824930898
126,'1','Class','cols',100,0.696058149,5.051362245
127,'1','Class','cols',100,0.675002835,5.229584741
128,'1','Class','cols',100,0.751207101,5.854424514
129,'1','Class','cols',100,0.684352531,5.567373173
130,'1','Class','cols',143,0.629745238,4.747487477
131,'1','Class','cols',143,0.703556743,6.36338698
132,'1','Class','cols',143,0.711819625,6.650323603
133,'1','Class','cols',143,0.733713328,6.558792458
134,'1','Class','cols',143,0.716679982,6.083315484
135,'1','Class','cols',143,0.732761617,6.085295437
136,'1','Class','cols',143,0.735494978,6.683250682
137,'1','Class','cols',143,0.697372978,6.084040912
138,'1','Class','cols',143,0.686636985,6.424284377
139,'1','Class','cols',143,0.693564989,6.274120908
140,'1','Class','cols',203,0.705375477,5.711241103
141,'1','Class','cols',203,0.729913102,6.563889303
142,'1','Class','cols',203,0.713859161,5.56382025
143,'1','Class','cols',203,0.671665329,5.591988682
144,'1','Class','cols',203,0.674877266,6.66588693
145,'1','Class','cols',203,0.657527249,5.104543803
146,'1','Class','cols',203,0.684507135,5.763621769
147,'1','Class','cols',203,0.774872725,6.874856952
148,'1','Class','cols',203,0.686474103,6.319725598
149,'1','Class','cols',203,0.698083103,6.278265925
150,'1','Class','cols',289,0.655862183,4.694206779
151,'1','Class','cols',289,0.684788726,5.630846099
152,'1','Class','cols',289,0.726569338,6.32959829
153,'1','Class','cols',289,0.693983514,6.097472579
